stem,image_path,label_path,num_boxes,avg_confidence,IoU,Precision,Recall,F1,TP,FP,FN,num_pred_boxes,num_gt_boxes
rgb_15744,/Users/peter/Documents/MDS_UBC/My Projects/Grounded_SAM/Labeling/dataset/gate_dataset/images/train/rgb_15744.png,/Users/peter/Documents/MDS_UBC/My Projects/Grounded_SAM/Labeling/dataset/gate_dataset/labels/train/rgb_15744.txt,1,0.6000372767448425,0.9797945330829319,1.0,1.0,1.0,1.0,0.0,0.0,1,1
rgb_15802,/Users/peter/Documents/MDS_UBC/My Projects/Grounded_SAM/Labeling/dataset/gate_dataset/images/train/rgb_15802.png,/Users/peter/Documents/MDS_UBC/My Projects/Grounded_SAM/Labeling/dataset/gate_dataset/labels/train/rgb_15802.txt,1,0.5712134838104248,0.9809616337568056,1.0,1.0,1.0,1.0,0.0,0.0,1,1
rgb_15930,/Users/peter/Documents/MDS_UBC/My Projects/Grounded_SAM/Labeling/dataset/gate_dataset/images/train/rgb_15930.png,/Users/peter/Documents/MDS_UBC/My Projects/Grounded_SAM/Labeling/dataset/gate_dataset/labels/train/rgb_15930.txt,1,0.5713505148887634,0.9182928518086914,1.0,1.0,1.0,1.0,0.0,0.0,1,1
rgb_16004,/Users/peter/Documents/MDS_UBC/My Projects/Grounded_SAM/Labeling/dataset/gate_dataset/images/train/rgb_16004.png,/Users/peter/Documents/MDS_UBC/My Projects/Grounded_SAM/Labeling/dataset/gate_dataset/labels/train/rgb_16004.txt,1,0.531731903553009,0.9536921421134485,1.0,1.0,1.0,1.0,0.0,0.0,1,1
rgb_16033,/Users/peter/Documents/MDS_UBC/My Projects/Grounded_SAM/Labeling/dataset/gate_dataset/images/train/rgb_16033.png,/Users/peter/Documents/MDS_UBC/My Projects/Grounded_SAM/Labeling/dataset/gate_dataset/labels/train/rgb_16033.txt,1,0.46322745084762573,0.9723462180628768,1.0,1.0,1.0,1.0,0.0,0.0,1,1
rgb_16081,/Users/peter/Documents/MDS_UBC/My Projects/Grounded_SAM/Labeling/dataset/gate_dataset/images/train/rgb_16081.png,/Users/peter/Documents/MDS_UBC/My Projects/Grounded_SAM/Labeling/dataset/gate_dataset/labels/train/rgb_16081.txt,2,0.37133777141571045,0.9718206603352402,0.5,1.0,0.6666666666666666,1.0,1.0,0.0,2,1
rgb_16122,/Users/peter/Documents/MDS_UBC/My Projects/Grounded_SAM/Labeling/dataset/gate_dataset/images/train/rgb_16122.png,/Users/peter/Documents/MDS_UBC/My Projects/Grounded_SAM/Labeling/dataset/gate_dataset/labels/train/rgb_16122.txt,2,0.377018541097641,0.9697387537204064,0.5,1.0,0.6666666666666666,1.0,1.0,0.0,2,1
rgb_16170,/Users/peter/Documents/MDS_UBC/My Projects/Grounded_SAM/Labeling/dataset/gate_dataset/images/train/rgb_16170.png,/Users/peter/Documents/MDS_UBC/My Projects/Grounded_SAM/Labeling/dataset/gate_dataset/labels/train/rgb_16170.txt,1,0.5793749094009399,0.9779524842757397,1.0,1.0,1.0,1.0,0.0,0.0,1,1
rgb_16204,/Users/peter/Documents/MDS_UBC/My Projects/Grounded_SAM/Labeling/dataset/gate_dataset/images/train/rgb_16204.png,/Users/peter/Documents/MDS_UBC/My Projects/Grounded_SAM/Labeling/dataset/gate_dataset/labels/train/rgb_16204.txt,1,0.5467498898506165,0.974115838525047,1.0,1.0,1.0,1.0,0.0,0.0,1,1
rgb_16235,/Users/peter/Documents/MDS_UBC/My Projects/Grounded_SAM/Labeling/dataset/gate_dataset/images/train/rgb_16235.png,/Users/peter/Documents/MDS_UBC/My Projects/Grounded_SAM/Labeling/dataset/gate_dataset/labels/train/rgb_16235.txt,1,0.5979400277137756,0.9630011629919671,1.0,1.0,1.0,1.0,0.0,0.0,1,1
